species,accession,annotation
Ostreococcus lucimarinus,GCF_000092065.1,RefSeq
Chlamydomonas reinhardtii,GCF_000002595.2,RefSeq
Volvox carteri,GCF_000143455.1,RefSeq
Picochlorum sp.,GCA_025209345.1,RefSeq
Astrephomene gubernaculifera,GCA_021605115.1,RefSeq
Nannochloris sp.,GCA_019044685.2,RefSeq
Dunaliella primolecta,GCA_914767535.2,RefSeq
Chloropicon primus,GCA_023205875.1,RefSeq
Tetradesmus obliquus,GCA_030272155.1,RefSeq
