epoch	accuracy	loss	val_accuracy	val_loss
0	0.7842307686805725	0.5417876839637756	0.7302858233451843	0.6363051533699036
1	0.8520908355712891	0.36280202865600586	0.8011630177497864	0.5213334560394287
2	0.8624832034111023	0.3337726593017578	0.8140724301338196	0.4895929992198944
3	0.8792339563369751	0.30052995681762695	0.8186321258544922	0.43192794919013977
4	0.8628519773483276	0.33063003420829773	0.8313992023468018	0.4725486636161804
5	0.8813626170158386	0.2941640615463257	0.8163926601409912	0.4452331066131592
6	0.8822950124740601	0.29298946261405945	0.8031350374221802	0.45478707551956177
7	0.8632060885429382	0.3280694782733917	0.8116346001625061	0.46326276659965515
8	0.8917105793952942	0.27519288659095764	0.8156922459602356	0.4464808404445648
9	0.8767749667167664	0.30472585558891296	0.8195460438728333	0.46970945596694946
10	0.8724428415298462	0.30752742290496826	0.8166220784187317	0.44824764132499695
11	0.892948567867279	0.27075812220573425	0.8320841789245605	0.4041004776954651
12	0.8696509599685669	0.3139590322971344	0.841162919998169	0.4313211143016815
13	0.8864297866821289	0.2818865180015564	0.828038215637207	0.4156264662742615
14	0.8874962329864502	0.280159056186676	0.8209378123283386	0.454223096370697
15	0.8676117062568665	0.3178851902484894	0.8270911574363708	0.42314037680625916
16	0.8943024277687073	0.26658910512924194	0.8231445550918579	0.43602487444877625
17	0.8820269703865051	0.2904582619667053	0.8020505905151367	0.49786150455474854
18	0.8719757795333862	0.30968374013900757	0.8409056663513184	0.38435351848602295
19	0.8979455232620239	0.2606532573699951	0.8307737708091736	0.40876972675323486
20	0.8738263249397278	0.3061360716819763	0.8201079964637756	0.45373958349227905
21	0.8879043459892273	0.27857115864753723	0.8387238383293152	0.3910295069217682
22	0.8906106352806091	0.27325010299682617	0.8194453120231628	0.42662951350212097
23	0.8699065446853638	0.3131886422634125	0.8296216130256653	0.4075033664703369
24	0.8953519463539124	0.26247039437294006	0.8295879364013672	0.41366317868232727
25	0.8841132521629333	0.28700485825538635	0.8341494798660278	0.3936794400215149
26	0.872991144657135	0.30691924691200256	0.8328550457954407	0.3976268470287323
27	0.8998451828956604	0.25591233372688293	0.7914312481880188	0.49061015248298645
28	0.8766396641731262	0.30138641595840454	0.8191390037536621	0.45790886878967285
29	0.887417197227478	0.2792758345603943	0.8322538733482361	0.4190480709075928
30	0.8925623893737793	0.26837876439094543	0.8374019265174866	0.3885197341442108
31	0.8730223178863525	0.3067915737628937	0.8346987962722778	0.40493786334991455
32	0.8955788016319275	0.2613166570663452	0.8276649117469788	0.413272500038147
33	0.8869858980178833	0.2814353406429291	0.8347038626670837	0.4015480577945709
